node1,node2
223,1
207,102
309,193
341,119
278,112
347,82
334,48
338,47
395,122
297,11
392,116
358,173
364,134
316,0
345,109
346,149
387,114
264,185
380,38
242,10
271,87
303,136
354,154
238,178
301,84
257,83
239,189
206,53
249,187
304,91
310,103
292,117
329,67
214,155
225,58
237,5
305,145
200,133
208,56
327,3
350,4
312,17
112,278
307,42
290,184
102,207
291,147
324,89
353,78
82,347
323,138
217,141
343,95
119,341
193,309
285,30
221,6
211,18
122,395
134,364
48,334
47,338
173,358
0,316
1,223
109,345
230,73
116,392
393,195
302,28
272,35
218,126
11,297
149,346
245,192
348,186
394,54
154,354
276,96
114,387
189,239
372,175
38,380
83,257
337,65
255,8
10,242
335,135
5,237
136,303
91,304
187,249
178,238
325,148
273,45
185,264
117,292
332,9
84,301
53,206
