node1,node2
416,440
292,311
313,369
273,273
287,267
243,354
406,465
479,490
465,406
490,479
377,248
267,287
209,213
213,209
218,217
362,319
319,362
346,249
413,458
499,498
411,423
486,485
235,314
314,235
245,336
359,356
222,219
217,218
275,223
246,330
255,306
354,243
219,222
356,359
205,323
323,205
387,326
326,387
397,383
383,397
336,245
364,386
386,364
351,231
231,351
285,349
349,285
341,210
211,366
283,375
399,207
366,211
252,266
343,238
266,252
375,283
210,341
207,399
238,343
269,312
290,378
378,290
261,274
274,261
382,220
294,228
228,294
312,269
220,382
215,281
281,215
272,226
226,272
340,398
398,340
345,298
298,345
225,277
277,225
388,212
212,388
240,244
355,355
244,240
208,291
291,208
107,173
347,278
278,347
352,371
371,352
173,107
300,203
203,300
257,251
251,257
196,42
324,394
394,324
167,88
